sentence,frame,polarity,verb,veridicalitynorm
A particular person was mortified to have a particular thing.,NP was Ved to VP,positive,mortify,3.1697671
Someone was dissatisfied that a particular thing happened,NP was Ved that S,positive,dissatisfy,3.1071417
Someone wasn\'t dissatisfied that a particular thing happened,NP was Ved that S,negative,dissatisfy,3.1071417
A particular person was stunned to have a particular thing.,NP was Ved to VP,positive,stun,3.0295615
A particular person wasn\'t stunned to have a particular thing.,NP was Ved to VP,negative,stun,3.0295615
Someone was disturbed that a particular thing happened,NP was Ved that S,positive,disturb,3.011026
Someone wasn\'t disturbed that a particular thing happened,NP was Ved that S,negative,disturb,3.011026
Someone was traumatized that a particular thing happened,NP was Ved that S,positive,traumatize,2.9907937
Someone wasn\'t traumatized that a particular thing happened,NP was Ved that S,negative,traumatize,2.9907937
A particular person wasn\'t startled to have a particular thing.,NP was Ved to VP,negative,startle,2.972671
A particular person was startled to have a particular thing.,NP was Ved to VP,positive,startle,2.972671
A particular person wasn\'t amused to have a particular thing.,NP was Ved to VP,negative,amuse,2.959484
A particular person was amused to have a particular thing.,NP was Ved to VP,positive,amuse,2.959484
A particular person was upset to have a particular thing.,NP was Ved to VP,positive,upset,2.9203894
A particular person wasn\'t upset to have a particular thing.,NP was Ved to VP,negative,upset,2.9203894
A particular person was astonished to have a particular thing.,NP was Ved to VP,positive,astonish,2.9124968
A particular person wasn\'t astonished to have a particular thing.,NP was Ved to VP,negative,astonish,2.9124968
Someone wasn\'t mortified that a particular thing happened,NP was Ved that S,negative,mortify,2.869925
Someone was mortified that a particular thing happened,NP was Ved that S,positive,mortify,2.869925
Someone wasn\'t astonished that a particular thing happened,NP was Ved that S,negative,astonish,2.8456292
Someone was astonished that a particular thing happened,NP was Ved that S,positive,astonish,2.8456292
A particular person was excited to have a particular thing.,NP was Ved to VP,positive,excite,2.823282
A particular person wasn\'t excited to have a particular thing.,NP was Ved to VP,negative,excite,2.823282
A particular person was embarrassed to have a particular thing.,NP was Ved to VP,positive,embarrass,2.8071337
A particular person wasn\'t embarrassed to have a particular thing.,NP was Ved to VP,negative,embarrass,2.8071337
A particular person wasn\'t relieved to have a particular thing.,NP was Ved to VP,negative,relieve,2.794082
A particular person was relieved to have a particular thing.,NP was Ved to VP,positive,relieve,2.794082
A particular person was shamed to have a particular thing.,NP was Ved to VP,positive,shame,2.7535744
A particular person wasn\'t shamed to have a particular thing.,NP was Ved to VP,negative,shame,2.7535744
A particular person wasn\'t disappointed to do a particular thing.,NP was Ved to VP,negative,disappoint,2.7295036
A particular person was disappointed to do a particular thing.,NP was Ved to VP,positive,disappoint,2.7295036
Someone was astounded that a particular thing happened,NP was Ved that S,positive,astound,2.7294972
Someone wasn\'t astounded that a particular thing happened,NP was Ved that S,negative,astound,2.7294972
Someone was thrilled that a particular thing happened,NP was Ved that S,positive,thrill,2.7281935
Someone wasn\'t thrilled that a particular thing happened,NP was Ved that S,negative,thrill,2.7281935
A particular person wasn\'t disgruntled to have a particular thing.,NP was Ved to VP,negative,disgruntle,2.7196722
A particular person was disgruntled to have a particular thing.,NP was Ved to VP,positive,disgruntle,2.7196722
Someone was floored that a particular thing happened,NP was Ved that S,positive,floor,2.6836576
Someone wasn\'t floored that a particular thing happened,NP was Ved that S,negative,floor,2.6836576
A particular person was sickened to have a particular thing.,NP was Ved to VP,positive,sicken,2.6826153
A particular person wasn\'t sickened to have a particular thing.,NP was Ved to VP,negative,sicken,2.6826153
Someone didn\'t despise that a particular thing happened,NP V that S,negative,despise,2.6756396
Someone despised that a particular thing happened,NP V that S,positive,despise,2.6756396
A particular person was irked to have a particular thing.,NP was Ved to VP,positive,irk,2.6748986
A particular person wasn\'t irked to have a particular thing.,NP was Ved to VP,negative,irk,2.6748986
A particular person was enthused to have a particular thing.,NP was Ved to VP,positive,enthuse,2.6550746
A particular person wasn\'t enthused to have a particular thing.,NP was Ved to VP,negative,enthuse,2.6550746
A particular person wasn\'t disgraced to have a particular thing.,NP was Ved to VP,negative,disgrace,2.6371531
A particular person was disgraced to have a particular thing.,NP was Ved to VP,positive,disgrace,2.6371531
Someone was pleased that a particular thing happened,NP was Ved that S,positive,please,2.625894
Someone wasn\'t pleased that a particular thing happened,NP was Ved that S,negative,please,2.625894
Someone was outraged that a particular thing happened,NP was Ved that S,positive,outrage,2.6175134
Someone wasn\'t outraged that a particular thing happened,NP was Ved that S,negative,outrage,2.6175134
A particular person was pleased to do a particular thing.,NP was Ved to VP,positive,please,2.6125784
A particular person wasn\'t pleased to do a particular thing.,NP was Ved to VP,negative,please,2.6125784
Someone was irked that a particular thing happened,NP was Ved that S,positive,irk,2.6110399
Someone wasn\'t irked that a particular thing happened,NP was Ved that S,negative,irk,2.6110399
Someone didn\'t like that a particular thing happened,NP V that S,negative,like,2.6090033
Someone liked that a particular thing happened,NP V that S,positive,like,2.6090033
A particular person wasn\'t dissatisfied to have a particular thing.,NP was Ved to VP,negative,dissatisfy,2.591441
A particular person was dissatisfied to have a particular thing.,NP was Ved to VP,positive,dissatisfy,2.591441
A particular person wasn\'t flustered to have a particular thing.,NP was Ved to VP,negative,fluster,2.5555997
A particular person was flustered to have a particular thing.,NP was Ved to VP,positive,fluster,2.5555997
Someone was baffled that a particular thing happened,NP was Ved that S,positive,baffle,2.5553815
Someone was surprised that a particular thing happened,NP was Ved that S,positive,surprise,2.5553815
Someone wasn\'t surprised that a particular thing happened,NP was Ved that S,negative,surprise,2.5553815
Someone wasn\'t baffled that a particular thing happened,NP was Ved that S,negative,baffle,2.5553815
Someone wasn\'t offended that a particular thing happened,NP was Ved that S,negative,offend,2.5468802
Someone was offended that a particular thing happened,NP was Ved that S,positive,offend,2.5468802
Someone wasn\'t unnerved that a particular thing happened,NP was Ved that S,negative,unnerve,2.5022357
Someone was unnerved that a particular thing happened,NP was Ved that S,positive,unnerve,2.5022357
Someone was angered that a particular thing happened,NP was Ved that S,positive,anger,2.5010242
Someone wasn\'t angered that a particular thing happened,NP was Ved that S,negative,anger,2.5010242
Someone was amazed that a particular thing happened,NP was Ved that S,positive,amaze,2.4978292
Someone wasn\'t amazed that a particular thing happened,NP was Ved that S,negative,amaze,2.4978292
Someone was revolted that a particular thing happened,NP was Ved that S,positive,revolt,2.4909067
Someone wasn\'t revolted that a particular thing happened,NP was Ved that S,negative,revolt,2.4909067
Someone wasn\'t embarrassed that a particular thing happened,NP was Ved that S,negative,embarrass,2.4876785
Someone was embarrassed that a particular thing happened,NP was Ved that S,positive,embarrass,2.4876785
Someone hated that a particular thing happened,NP V that S,positive,hate,2.4836931
Someone didn\'t hate that a particular thing happened,NP V that S,negative,hate,2.4836931
Someone wasn\'t upset that a particular thing happened,NP was Ved that S,negative,upset,2.4796839
Someone was upset that a particular thing happened,NP was Ved that S,positive,upset,2.4796839
A particular person was astounded to have a particular thing.,NP was Ved to VP,positive,astound,2.466687
A particular person wasn\'t astounded to have a particular thing.,NP was Ved to VP,negative,astound,2.466687
Someone wasn\'t mystified that a particular thing happened,NP was Ved that S,negative,mystify,2.4660723
Someone was mystified that a particular thing happened,NP was Ved that S,positive,mystify,2.4660723
A particular person was relieved to do a particular thing.,NP was Ved to VP,positive,relieve,2.463971
A particular person wasn\'t relieved to do a particular thing.,NP was Ved to VP,negative,relieve,2.463971
A particular person wasn\'t alarmed to have a particular thing.,NP was Ved to VP,negative,alarm,2.4587517
A particular person was alarmed to have a particular thing.,NP was Ved to VP,positive,alarm,2.4587517
Someone didn\'t realize that a particular thing happened,NP V that S,negative,realize,2.4542797
Someone realized that a particular thing happened,NP V that S,positive,realize,2.4542797
Someone wasn\'t shamed that a particular thing happened,NP was Ved that S,negative,shame,2.4366093
Someone was shamed that a particular thing happened,NP was Ved that S,positive,shame,2.4366093
A particular person was gratified to do a particular thing.,NP was Ved to VP,positive,gratify,2.434293
A particular person wasn\'t gratified to do a particular thing.,NP was Ved to VP,negative,gratify,2.434293
Someone was insulted that a particular thing happened,NP was Ved that S,positive,insult,2.4272234
Someone marvelled that a particular thing happened,NP V that S,positive,marvel,2.4272234
Someone wasn\'t insulted that a particular thing happened,NP was Ved that S,negative,insult,2.4272234
Someone didn\'t marvel that a particular thing happened,NP V that S,negative,marvel,2.4272234
A particular person wasn\'t outraged to have a particular thing.,NP was Ved to VP,negative,outrage,2.4237623
A particular person was outraged to have a particular thing.,NP was Ved to VP,positive,outrage,2.4237623
Someone wasn\'t excited that a particular thing happened,NP was Ved that S,negative,excite,2.42271
Someone was excited that a particular thing happened,NP was Ved that S,positive,excite,2.42271
Someone wasn\'t flipped out that a particular thing happened,NP was Ved that S,negative,flip_out,2.4219828
Someone was flipped out that a particular thing happened,NP was Ved that S,positive,flip_out,2.4219828
A particular person was enthralled to have a particular thing.,NP was Ved to VP,positive,enthrall,2.4214559
A particular person wasn\'t enthralled to have a particular thing.,NP was Ved to VP,negative,enthrall,2.4214559
Someone loved that a particular thing happened,NP V that S,positive,love,2.421117
Someone didn\'t love that a particular thing happened,NP V that S,negative,love,2.421117
Someone was horrified that a particular thing happened,NP was Ved that S,positive,horrify,2.421117
Someone wasn\'t horrified that a particular thing happened,NP was Ved that S,negative,horrify,2.421117
Someone was devastated that a particular thing happened,NP was Ved that S,positive,devastate,2.420023
Someone wasn\'t devastated that a particular thing happened,NP was Ved that S,negative,devastate,2.420023
A particular person was hurt to have a particular thing.,NP was Ved to VP,positive,hurt,2.4187486
A particular person wasn\'t hurt to have a particular thing.,NP was Ved to VP,negative,hurt,2.4187486
A particular person was mystified to have a particular thing.,NP was Ved to VP,positive,mystify,2.4162765
A particular person wasn\'t mystified to have a particular thing.,NP was Ved to VP,negative,mystify,2.4162765
Someone didn\'t relish that a particular thing happened,NP V that S,negative,relish,2.414325
Someone relished that a particular thing happened,NP V that S,positive,relish,2.414325
Someone was alarmed that a particular thing happened,NP was Ved that S,positive,alarm,2.4137928
Someone wasn\'t alarmed that a particular thing happened,NP was Ved that S,negative,alarm,2.4137928
Someone wasn\'t marvelled that a particular thing happened,NP was Ved that S,negative,marvel,2.411602
Someone was stunned that a particular thing happened,NP was Ved that S,positive,stun,2.411602
Someone was marvelled that a particular thing happened,NP was Ved that S,positive,marvel,2.411602
Someone wasn\'t stunned that a particular thing happened,NP was Ved that S,negative,stun,2.411602
A particular person was shocked to do a particular thing.,NP was Ved to VP,positive,shock,2.400515
A particular person wasn\'t shocked to do a particular thing.,NP was Ved to VP,negative,shock,2.400515
A particular person was horrified to have a particular thing.,NP was Ved to VP,positive,horrify,2.3894277
A particular person wasn\'t horrified to have a particular thing.,NP was Ved to VP,negative,horrify,2.3894277
A particular person was pained to have a particular thing.,NP was Ved to VP,positive,pain,2.3883295
A particular person wasn\'t pained to have a particular thing.,NP was Ved to VP,negative,pain,2.3883295
A particular person wasn\'t stressed to have a particular thing.,NP was Ved to VP,negative,stress,2.3788517
A particular person was stressed to have a particular thing.,NP was Ved to VP,positive,stress,2.3788517
Someone appreciated that a particular thing happened,NP V that S,positive,appreciate,2.3726377
Someone didn\'t appreciate that a particular thing happened,NP V that S,negative,appreciate,2.3726377
Someone didn\'t resent that a particular thing happened,NP V that S,negative,resent,2.3651767
Someone resented that a particular thing happened,NP V that S,positive,resent,2.3651767
Someone was saddened that a particular thing happened,NP was Ved that S,positive,sadden,2.359288
Someone wasn\'t saddened that a particular thing happened,NP was Ved that S,negative,sadden,2.359288
Someone wasn\'t contented that a particular thing happened,NP was Ved that S,negative,content,2.3391173
Someone was contented that a particular thing happened,NP was Ved that S,positive,content,2.3391173
Someone wasn\'t annoyed that a particular thing happened,NP was Ved that S,negative,annoy,2.3292956
Someone was annoyed that a particular thing happened,NP was Ved that S,positive,annoy,2.3292956
Someone was freaked out that a particular thing happened,NP was Ved that S,positive,freak_out,2.322457
Someone wasn\'t freaked out that a particular thing happened,NP was Ved that S,negative,freak_out,2.322457
A particular person was shamed to do a particular thing.,NP was Ved to VP,positive,shame,2.320898
A particular person wasn\'t shamed to do a particular thing.,NP was Ved to VP,negative,shame,2.320898
Someone wasn\'t disheartened that a particular thing happened,NP was Ved that S,negative,dishearten,2.3082788
Someone was disheartened that a particular thing happened,NP was Ved that S,positive,dishearten,2.3082788
Someone forgot that a particular thing happened,NP V that S,positive,forget,2.272712
Someone didn\'t forget that a particular thing happened,NP V that S,negative,forget,2.272712
Someone was impressed that a particular thing happened,NP was Ved that S,positive,impress,2.2684455
Someone wasn\'t impressed that a particular thing happened,NP was Ved that S,negative,impress,2.2684455
A particular person was freaked out to have a particular thing.,NP was Ved to VP,positive,freak_out,2.2667894
A particular person wasn\'t freaked out to have a particular thing.,NP was Ved to VP,negative,freak_out,2.2667894
Someone wasn\'t shocked that a particular thing happened,NP was Ved that S,negative,shock,2.2639625
Someone was shocked that a particular thing happened,NP was Ved that S,positive,shock,2.2639625
Someone was maddened that a particular thing happened,NP was Ved that S,positive,madden,2.2511277
Someone wasn\'t maddened that a particular thing happened,NP was Ved that S,negative,madden,2.2511277
Someone was demoralized that a particular thing happened,NP was Ved that S,positive,demoralize,2.2480679
Someone wasn\'t demoralized that a particular thing happened,NP was Ved that S,negative,demoralize,2.2480679
A particular person was amused to do a particular thing.,NP was Ved to VP,positive,amuse,2.2035124
A particular person wasn\'t amused to do a particular thing.,NP was Ved to VP,negative,amuse,2.2035124
Someone wasn\'t delighted that a particular thing happened,NP was Ved that S,negative,delight,2.2032301
Someone wasn\'t flattered that a particular thing happened,NP was Ved that S,negative,flatter,2.2032301
Someone was flattered that a particular thing happened,NP was Ved that S,positive,flatter,2.2032301
Someone was delighted that a particular thing happened,NP was Ved that S,positive,delight,2.2032301
Someone wasn\'t enthused that a particular thing happened,NP was Ved that S,negative,enthuse,2.186468
Someone was enthused that a particular thing happened,NP was Ved that S,positive,enthuse,2.186468
A particular person wasn\'t frustrated to have a particular thing.,NP was Ved to VP,negative,frustrate,2.1856148
A particular person was frustrated to have a particular thing.,NP was Ved to VP,positive,frustrate,2.1856148
Someone didn\'t apologize that a particular thing happened,NP V that S,negative,apologize,2.1829815
Someone apologized that a particular thing happened,NP V that S,positive,apologize,2.1829815
Someone was amused that a particular thing happened,NP was Ved that S,positive,amuse,2.176767
Someone wasn\'t amused that a particular thing happened,NP was Ved that S,negative,amuse,2.176767
A particular person wasn\'t satisfied to have a particular thing.,NP was Ved to VP,negative,satisfy,2.1731632
A particular person was satisfied to have a particular thing.,NP was Ved to VP,positive,satisfy,2.1731632
Someone didn\'t spot that a particular thing happened,NP V that S,negative,spot,2.1716232
Someone spotted that a particular thing happened,NP V that S,positive,spot,2.1716232
Someone wasn\'t troubled that a particular thing happened,NP was Ved that S,negative,trouble,2.1617148
Someone was troubled that a particular thing happened,NP was Ved that S,positive,trouble,2.1617148
Someone wasn\'t exhilarated that a particular thing happened,NP was Ved that S,negative,exhilarate,2.1518261
Someone was exhilarated that a particular thing happened,NP was Ved that S,positive,exhilarate,2.1518261
Someone enjoyed that a particular thing happened,NP V that S,positive,enjoy,2.141
Someone didn\'t enjoy that a particular thing happened,NP V that S,negative,enjoy,2.141
Someone was gladdened that a particular thing happened,NP was Ved that S,positive,gladden,2.1392012
Someone wasn\'t gladdened that a particular thing happened,NP was Ved that S,negative,gladden,2.1392012
A particular person wasn\'t contented to have a particular thing.,NP was Ved to VP,negative,content,2.1381288
A particular person was contented to have a particular thing.,NP was Ved to VP,positive,content,2.1381288
Someone wasn\'t spooked that a particular thing happened,NP was Ved that S,negative,spook,2.1375754
Someone was spooked that a particular thing happened,NP was Ved that S,positive,spook,2.1375754
Someone was aggravated that a particular thing happened,NP was Ved that S,positive,aggravate,2.1364608
Someone wasn\'t aggravated that a particular thing happened,NP was Ved that S,negative,aggravate,2.1364608
Someone wasn\'t appalled that a particular thing happened,NP was Ved that S,negative,appall,2.1349697
Someone was appalled that a particular thing happened,NP was Ved that S,positive,appall,2.1349697
Someone was bothered that a particular thing happened,NP was Ved that S,positive,bother,2.1314728
Someone wasn\'t bothered that a particular thing happened,NP was Ved that S,negative,bother,2.1314728
Someone disliked that a particular thing happened,NP V that S,positive,dislike,2.1301281
Someone didn\'t dislike that a particular thing happened,NP V that S,negative,dislike,2.1301281
Someone wasn\'t startled that a particular thing happened,NP was Ved that S,negative,startle,2.1148036
Someone was startled that a particular thing happened,NP was Ved that S,positive,startle,2.1148036
Someone wasn\'t intimidated that a particular thing happened,NP was Ved that S,negative,intimidate,2.1119335
Someone was intimidated that a particular thing happened,NP was Ved that S,positive,intimidate,2.1119335
Someone was moved that a particular thing happened,NP was Ved that S,positive,move,2.1097648
Someone wasn\'t moved that a particular thing happened,NP was Ved that S,negative,move,2.1097648
A particular person was humiliated to have a particular thing.,NP was Ved to VP,positive,humiliate,2.1041462
A particular person wasn\'t humiliated to have a particular thing.,NP was Ved to VP,negative,humiliate,2.1041462
Someone wasn\'t pained that a particular thing happened,NP was Ved that S,negative,pain,2.0983443
Someone was pained that a particular thing happened,NP was Ved that S,positive,pain,2.0983443
Someone wasn\'t dismayed that a particular thing happened,NP was Ved that S,negative,dismay,2.0923674
Someone was dismayed that a particular thing happened,NP was Ved that S,positive,dismay,2.0923674
A particular person gloated to have a particular thing.,NP V to VP,positive,gloat,2.0919535
A particular person didn\'t gloat to have a particular thing.,NP V to VP,negative,gloat,2.0919535
A particular person wasn\'t thrilled to do a particular thing.,NP was Ved to VP,negative,thrill,2.0683236
A particular person was thrilled to do a particular thing.,NP was Ved to VP,positive,thrill,2.0683236
Someone didn\'t disclose that a particular thing happened,NP V that S,negative,disclose,2.0650725
Someone disclosed that a particular thing happened,NP V that S,positive,disclose,2.0650725
Someone wasn\'t grieved that a particular thing happened,NP was Ved that S,negative,grieve,2.0639758
Someone was grieved that a particular thing happened,NP was Ved that S,positive,grieve,2.0639758
Someone was anguished that a particular thing happened,NP was Ved that S,positive,anguish,2.0599086
Someone wasn\'t anguished that a particular thing happened,NP was Ved that S,negative,anguish,2.0599086
A particular person was comforted to have a particular thing.,NP was Ved to VP,positive,comfort,2.049131
A particular person wasn\'t comforted to have a particular thing.,NP was Ved to VP,negative,comfort,2.049131
Someone didn\'t fess up that a particular thing happened,NP V that S,negative,fess_up,2.0262442
Someone fessed up that a particular thing happened,NP V that S,positive,fess_up,2.0262442
Someone noticed that a particular thing happened,NP V that S,positive,notice,2.0213323
Someone didn\'t notice that a particular thing happened,NP V that S,negative,notice,2.0213323
A particular person hated to have a particular thing.,NP V to VP,positive,hate,2.0204988
A particular person didn\'t hate to have a particular thing.,NP V to VP,negative,hate,2.0204988
Someone was elated that a particular thing happened,NP was Ved that S,positive,elate,2.0073233
Someone wasn\'t elated that a particular thing happened,NP was Ved that S,negative,elate,2.0073233
Someone wasn\'t disgruntled that a particular thing happened,NP was Ved that S,negative,disgruntle,2.004398
Someone was disgruntled that a particular thing happened,NP was Ved that S,positive,disgruntle,2.004398
A particular person was infuriated to have a particular thing.,NP was Ved to VP,positive,infuriate,1.9857097
A particular person wasn\'t infuriated to have a particular thing.,NP was Ved to VP,negative,infuriate,1.9857097
A particular person wasn\'t traumatized to do a particular thing.,NP was Ved to VP,negative,traumatize,1.9819418
A particular person was traumatized to do a particular thing.,NP was Ved to VP,positive,traumatize,1.9819418
Someone wasn\'t vexed that a particular thing happened,NP was Ved that S,negative,vex,1.9783477
Someone was vexed that a particular thing happened,NP was Ved that S,positive,vex,1.9783477
Someone wasn\'t enthralled that a particular thing happened,NP was Ved that S,negative,enthrall,1.9752321
Someone was enthralled that a particular thing happened,NP was Ved that S,positive,enthrall,1.9752321
Someone was spellbound that a particular thing happened,NP was Ved that S,positive,spellbind,1.9728248
Someone wasn\'t spellbound that a particular thing happened,NP was Ved that S,negative,spellbind,1.9728248
Someone recognized that a particular thing happened,NP V that S,positive,recognize,1.971473
Someone didn\'t recognize that a particular thing happened,NP V that S,negative,recognize,1.971473
Someone wasn\'t sickened that a particular thing happened,NP was Ved that S,negative,sicken,1.9653436
Someone was sickened that a particular thing happened,NP was Ved that S,positive,sicken,1.9653436
A particular person was appalled to do a particular thing.,NP was Ved to VP,positive,appall,1.9585397
A particular person wasn\'t appalled to do a particular thing.,NP was Ved to VP,negative,appall,1.9585397
Someone wasn\'t stimulated that a particular thing happened,NP was Ved that S,negative,stimulate,1.9572884
Someone was stimulated that a particular thing happened,NP was Ved that S,positive,stimulate,1.9572884
Someone was roused that a particular thing happened,NP was Ved that S,positive,rouse,1.9499048
Someone wasn\'t roused that a particular thing happened,NP was Ved that S,negative,rouse,1.9499048
A particular person wasn\'t anguished to have a particular thing.,NP was Ved to VP,negative,anguish,1.9454291
A particular person was anguished to have a particular thing.,NP was Ved to VP,positive,anguish,1.9454291
Someone wasn\'t tortured that a particular thing happened,NP was Ved that S,negative,torture,1.9437021
Someone was tortured that a particular thing happened,NP was Ved that S,positive,torture,1.9437021
A particular person was awed to have a particular thing.,NP was Ved to VP,positive,awe,1.9308116
A particular person wasn\'t awed to have a particular thing.,NP was Ved to VP,negative,awe,1.9308116
Someone didn\'t regret that a particular thing happened,NP V that S,negative,regret,1.9291492
Someone regretted that a particular thing happened,NP V that S,positive,regret,1.9291492
Someone was miffed that a particular thing happened,NP was Ved that S,positive,miff,1.9198012
Someone wasn\'t miffed that a particular thing happened,NP was Ved that S,negative,miff,1.9198012
A particular person was crushed to have a particular thing.,NP was Ved to VP,positive,crush,1.9147692
A particular person wasn\'t crushed to have a particular thing.,NP was Ved to VP,negative,crush,1.9147692
A particular person wasn\'t disturbed to have a particular thing.,NP was Ved to VP,negative,disturb,1.9115115
A particular person was disturbed to have a particular thing.,NP was Ved to VP,positive,disturb,1.9115115
Someone was distressed that a particular thing happened,NP was Ved that S,positive,distress,1.9109926
Someone wasn\'t distressed that a particular thing happened,NP was Ved that S,negative,distress,1.9109926
A particular person wasn\'t annoyed to do a particular thing.,NP was Ved to VP,negative,annoy,1.9095471
A particular person was annoyed to do a particular thing.,NP was Ved to VP,positive,annoy,1.9095471
A particular person wasn\'t surprised to do a particular thing.,NP was Ved to VP,negative,surprise,1.9010916
A particular person was surprised to do a particular thing.,NP was Ved to VP,positive,surprise,1.9010916
Someone wasn\'t fascinated that a particular thing happened,NP was Ved that S,negative,fascinate,1.898535
Someone was fascinated that a particular thing happened,NP was Ved that S,positive,fascinate,1.898535
A particular person was helped to do a particular thing.,NP was Ved to VP,positive,help,1.896896
A particular person wasn\'t helped to do a particular thing.,NP was Ved to VP,negative,help,1.896896
Someone wasn\'t warned that a particular thing happened,NP was Ved that S,negative,warn,1.8909461
Someone was warned that a particular thing happened,NP was Ved that S,positive,warn,1.8909461
A particular person was enraged to have a particular thing.,NP was Ved to VP,positive,enrage,1.8688781
A particular person wasn\'t enraged to have a particular thing.,NP was Ved to VP,negative,enrage,1.8688781
Someone wasn\'t infuriated that a particular thing happened,NP was Ved that S,negative,infuriate,1.8638237
Someone was infuriated that a particular thing happened,NP was Ved that S,positive,infuriate,1.8638237
A particular person wasn\'t elated to do a particular thing.,NP was Ved to VP,negative,elate,1.8594126
A particular person was elated to do a particular thing.,NP was Ved to VP,positive,elate,1.8594126
Someone was updated that a particular thing happened,NP was Ved that S,positive,update,1.8582062
Someone wasn\'t updated that a particular thing happened,NP was Ved that S,negative,update,1.8582062
Someone wasn\'t agitated that a particular thing happened,NP was Ved that S,negative,agitate,1.8578378
Someone was agitated that a particular thing happened,NP was Ved that S,positive,agitate,1.8578378
Someone wasn\'t disappointed that a particular thing happened,NP was Ved that S,negative,disappoint,1.8444151
Someone was disappointed that a particular thing happened,NP was Ved that S,positive,disappoint,1.8444151
Someone wept that a particular thing happened,NP V that S,positive,weep,1.8431772
Someone didn\'t weep that a particular thing happened,NP V that S,negative,weep,1.8431772
Someone was disgraced that a particular thing happened,NP was Ved that S,positive,disgrace,1.8350387
Someone wasn\'t disgraced that a particular thing happened,NP was Ved that S,negative,disgrace,1.8350387
Someone didn\'t understand that a particular thing happened,NP V that S,negative,understand,1.8251444
Someone understood that a particular thing happened,NP V that S,positive,understand,1.8251444
Someone wasn\'t embittered that a particular thing happened,NP was Ved that S,negative,embitter,1.8217583
Someone was embittered that a particular thing happened,NP was Ved that S,positive,embitter,1.8217583
Someone was irritated that a particular thing happened,NP was Ved that S,positive,irritate,1.8199416
Someone wasn\'t irritated that a particular thing happened,NP was Ved that S,negative,irritate,1.8199416
A particular person was charmed to have a particular thing.,NP was Ved to VP,positive,charm,1.8189029
A particular person wasn\'t charmed to have a particular thing.,NP was Ved to VP,negative,charm,1.8189029
Someone was flustered that a particular thing happened,NP was Ved that S,positive,fluster,1.8036661
Someone wasn\'t flustered that a particular thing happened,NP was Ved that S,negative,fluster,1.8036661
Someone didn\'t mean for a particular thing to happen.,NP V for NP to VP,negative,mean,1.7914543
Someone meant for a particular thing to happen.,NP V for NP to VP,positive,mean,1.7914543
